"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"in_out";"sex"
"38";"1999_19_hestmannøy";"1999_19";19;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";NA;NA;1;154;154;5.03695260241363;1;0
"39";"2000_19_hestmannøy";"2000_19";19;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";"obs";NA;NA;1;121;121;4.79579054559674;1;0
"40";"2001_19_hestmannøy";"2001_19";19;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";"obs";"capt";NA;0;141;141;4.94875989037817;1;0
"41";"1999_20_indre kvarøy";"1999_20";20;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"yes";NA;NA;NA;1;51;51;3.93182563272433;1;0
"42";"2000_20_indre kvarøy";"2000_20";20;"2000_indre kvarøy";2000;"indre kvarøy";28;2;1998;"yes";NA;NA;NA;1;32;32;3.46573590279973;1;0
"43";"2001_20_indre kvarøy";"2001_20";20;"2001_indre kvarøy";2001;"indre kvarøy";28;3;1998;"yes";NA;NA;NA;1;40;40;3.68887945411394;1;0
"44";"2002_20_indre kvarøy";"2002_20";20;"2002_indre kvarøy";2002;"indre kvarøy";28;4;1998;"no";NA;"capt";NA;1;38;38;3.63758615972639;1;0
"45";"2003_20_indre kvarøy";"2003_20";20;"2003_indre kvarøy";2003;"indre kvarøy";28;5;1998;"yes";NA;NA;NA;1;50;50;3.91202300542815;1;0
"46";"2004_20_indre kvarøy";"2004_20";20;"2004_indre kvarøy";2004;"indre kvarøy";28;6;1998;"gene_new";NA;NA;"gene_new";1;31;31;3.43398720448515;1;0
"47";"2005_20_indre kvarøy";"2005_20";20;"2005_indre kvarøy";2005;"indre kvarøy";28;7;1998;"gene_new";NA;NA;"gene_new";0;58;58;4.06044301054642;1;0
"48";"1999_21_lurøy-onøy";"1999_21";21;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"yes";NA;NA;NA;1;108;108;4.68213122712422;1;0
"49";"2000_21_lurøy-onøy";"2000_21";21;"2000_lurøy-onøy";2000;"lurøy-onøy";33;2;1998;"no";NA;"capt";NA;1;71;71;4.26267987704132;1;0
