"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"sex";"Own_survival";"N_Recruits";"r2s";"estimated_pop_size";"in_out";"n";"N";"Mean_N_isl";"zNR"
"30";"2000_14_aldra";"2000_14";14;"2000_aldra";2000;"aldra";38;2;1998;"no";NA;"capt";NA;1;0;1;1;23;1;3.13549421592915;23;26.8181818181818;-0.0954545454545454
"31";"1999_15_indre kvarøy";"1999_15";15;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";"obs";NA;NA;0;0;0;0;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"32";"1999_16_indre kvarøy";"1999_16";16;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";"obs";NA;NA;1;0;1;1;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"33";"1998_17_indre kvarøy";"1998_17";17;"1998_indre kvarøy";1998;"indre kvarøy";28;1;1997;"no";NA;"capt";NA;1;1;3;5;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"34";"1999_17_indre kvarøy";"1999_17";17;"1999_indre kvarøy";1999;"indre kvarøy";28;2;1997;"no";"obs";NA;NA;1;0;0;0;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"35";"1999_18_indre kvarøy";"1999_18";18;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"no";"obs";NA;NA;1;1;0;2;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"36";"2000_18_indre kvarøy";"2000_18";18;"2000_indre kvarøy";2000;"indre kvarøy";28;2;1998;"no";"obs";NA;NA;1;1;2;4;32;1;3.46573590279973;32;59.2272727272727;-0.680681818181818
"37";"2001_18_indre kvarøy";"2001_18";18;"2001_indre kvarøy";2001;"indre kvarøy";28;3;1998;"no";"obs";NA;NA;1;0;1;1;40;1;3.68887945411394;40;59.2272727272727;-0.480681818181818
"38";"1999_19_hestmannøy";"1999_19";19;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";NA;NA;0;1;0;2;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"39";"2000_19_hestmannøy";"2000_19";19;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";"obs";NA;NA;0;1;2;4;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"40";"2001_19_hestmannøy";"2001_19";19;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";"obs";"capt";NA;0;0;0;0;141;1;4.94875989037817;141;145.181818181818;-0.104545454545455
"41";"1999_20_indre kvarøy";"1999_20";20;"1999_indre kvarøy";1999;"indre kvarøy";28;1;1998;"yes";NA;NA;NA;0;1;0;2;51;1;3.93182563272433;51;59.2272727272727;-0.205681818181818
"42";"2000_20_indre kvarøy";"2000_20";20;"2000_indre kvarøy";2000;"indre kvarøy";28;2;1998;"yes";NA;NA;NA;0;1;1;3;32;1;3.46573590279973;32;59.2272727272727;-0.680681818181818
"43";"2001_20_indre kvarøy";"2001_20";20;"2001_indre kvarøy";2001;"indre kvarøy";28;3;1998;"yes";NA;NA;NA;0;1;0;2;40;1;3.68887945411394;40;59.2272727272727;-0.480681818181818
"44";"2002_20_indre kvarøy";"2002_20";20;"2002_indre kvarøy";2002;"indre kvarøy";28;4;1998;"no";NA;"capt";NA;0;1;1;3;38;1;3.63758615972639;38;59.2272727272727;-0.530681818181818
"45";"2003_20_indre kvarøy";"2003_20";20;"2003_indre kvarøy";2003;"indre kvarøy";28;5;1998;"yes";NA;NA;NA;0;1;0;2;50;1;3.91202300542815;50;59.2272727272727;-0.230681818181818
"46";"2004_20_indre kvarøy";"2004_20";20;"2004_indre kvarøy";2004;"indre kvarøy";28;6;1998;"gene_new";NA;NA;"gene_new";0;1;3;5;31;1;3.43398720448515;31;59.2272727272727;-0.705681818181818
"47";"2005_20_indre kvarøy";"2005_20";20;"2005_indre kvarøy";2005;"indre kvarøy";28;7;1998;"gene_new";NA;NA;"gene_new";0;0;1;1;58;1;4.06044301054642;58;59.2272727272727;-0.0306818181818182
"48";"1999_21_lurøy-onøy";"1999_21";21;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"yes";NA;NA;NA;0;1;1;3;108;1;4.68213122712422;108;38.5909090909091;1.73522727272727
"49";"2000_21_lurøy-onøy";"2000_21";21;"2000_lurøy-onøy";2000;"lurøy-onøy";33;2;1998;"no";NA;"capt";NA;0;1;0;2;71;1;4.26267987704132;71;38.5909090909091;0.810227272727273
"50";"2001_21_lurøy-onøy";"2001_21";21;"2001_lurøy-onøy";2001;"lurøy-onøy";33;3;1998;"gene_new";NA;NA;"gene_new";0;1;1;3;61;1;4.11087386417331;61;38.5909090909091;0.560227272727273
"51";"2002_21_lurøy-onøy";"2002_21";21;"2002_lurøy-onøy";2002;"lurøy-onøy";33;4;1998;"yes";NA;NA;NA;0;1;0;2;12;1;2.484906649788;12;38.5909090909091;-0.664772727272727
"52";"2003_21_lurøy-onøy";"2003_21";21;"2003_lurøy-onøy";2003;"lurøy-onøy";33;5;1998;"gene_new";NA;NA;"gene_new";0;0;1;1;20;1;2.99573227355399;20;38.5909090909091;-0.464772727272727
"53";"1999_22_lovund";"1999_22";22;"1999_lovund";1999;"lovund";34;1;1998;"no";"obs";"capt";NA;1;1;0;2;44;0;3.78418963391826;44;37;0.175
"54";"2000_22_lovund";"2000_22";22;"2000_lovund";2000;"lovund";34;2;1998;"yes";NA;NA;NA;1;1;0;2;16;0;2.77258872223978;16;37;-0.525
"55";"2001_22_lovund";"2001_22";22;"2001_lovund";2001;"lovund";34;3;1998;"no";"obs";NA;NA;1;1;3;5;8;0;2.07944154167984;8;37;-0.725
"56";"2002_22_lovund";"2002_22";22;"2002_lovund";2002;"lovund";34;4;1998;"no";"obs";NA;NA;1;1;0;2;12;0;2.484906649788;12;37;-0.625
"57";"2003_22_lovund";"2003_22";22;"2003_lovund";2003;"lovund";34;5;1998;"gene_new";NA;NA;"gene_new";1;1;1;3;44;0;3.78418963391826;44;37;0.175
"58";"2004_22_lovund";"2004_22";22;"2004_lovund";2004;"lovund";34;6;1998;"gene_new";NA;NA;"gene_new";1;0;3;3;51;0;3.93182563272433;51;37;0.35
"59";"1999_23_lurøy-onøy";"1999_23";23;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;0;0;0;0;108;1;4.68213122712422;108;38.5909090909091;1.73522727272727
"60";"1999_24_lurøy-onøy";"1999_24";24;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;1;0;0;0;108;1;4.68213122712422;108;38.5909090909091;1.73522727272727
"61";"1999_25_lurøy-onøy";"1999_25";25;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;1;0;0;0;108;1;4.68213122712422;108;38.5909090909091;1.73522727272727
"62";"1999_26_lurøy-onøy";"1999_26";26;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;0;0;0;0;108;1;4.68213122712422;108;38.5909090909091;1.73522727272727
"63";"1999_27_lurøy-onøy";"1999_27";27;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";"capt";NA;0;0;0;0;108;1;4.68213122712422;108;38.5909090909091;1.73522727272727
"64";"1999_28_hestmannøy";"1999_28";28;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;1;1;0;2;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
