"stage";"Year";"Location";"total"
"177";"adult";2018;"hestmannøy";93
"178";"adult";2018;"indre kvarøy";46
"179";"adult";2018;"lovund";31
"180";"adult";2018;"myken";13
"181";"adult";2018;"nesøy";18
"182";"adult";2018;"selvær";29
"183";"adult";2018;"sleneset";16
"184";"adult";2018;"træna";72
"185";"adult";2019;"gjerøy";39
"186";"adult";2019;"hestmannøy";112
"187";"adult";2019;"indre kvarøy";24
"188";"adult";2019;"lovund";14
"189";"adult";2019;"myken";6
"190";"adult";2019;"nesøy";3
"191";"adult";2019;"selvær";11
"192";"adult";2019;"sleneset";9
"193";"fledge";1998;"gjerøy";37
"194";"fledge";1998;"hestmannøy";75
"195";"fledge";1998;"indre kvarøy";22
"196";"fledge";1998;"nesøy";6
"197";"fledge";1999;"aldra";9
"198";"fledge";1999;"gjerøy";22
"199";"fledge";1999;"hestmannøy";54
"200";"fledge";1999;"indre kvarøy";27
"201";"fledge";1999;"lovund";35
"202";"fledge";1999;"nesøy";12
"203";"fledge";1999;"selvær";47
"204";"fledge";1999;"sleneset";37
"205";"fledge";1999;"træna";41
"206";"fledge";2000;"aldra";30
"207";"fledge";2000;"gjerøy";34
"208";"fledge";2000;"hestmannøy";68
"209";"fledge";2000;"indre kvarøy";30
"210";"fledge";2000;"nesøy";6
"211";"fledge";2001;"aldra";11
"212";"fledge";2001;"gjerøy";28
"213";"fledge";2001;"hestmannøy";52
"214";"fledge";2001;"indre kvarøy";25
"215";"fledge";2001;"nesøy";4
"216";"fledge";2002;"aldra";15
"217";"fledge";2002;"gjerøy";50
"218";"fledge";2002;"hestmannøy";84
"219";"fledge";2002;"indre kvarøy";37
"220";"fledge";2002;"nesøy";8
"221";"fledge";2003;"aldra";27
"222";"fledge";2003;"gjerøy";42
"223";"fledge";2003;"hestmannøy";89
"224";"fledge";2003;"indre kvarøy";53
"225";"fledge";2003;"lovund";30
"226";"fledge";2003;"nesøy";6
"227";"fledge";2003;"selvær";31
"228";"fledge";2003;"træna";39
"229";"fledge";2004;"aldra";22
"230";"fledge";2004;"gjerøy";40
"231";"fledge";2004;"hestmannøy";94
"232";"fledge";2004;"indre kvarøy";35
"233";"fledge";2004;"lovund";28
"234";"fledge";2004;"myken";30
"235";"fledge";2004;"nesøy";8
"236";"fledge";2004;"selvær";17
"237";"fledge";2004;"sleneset";19
"238";"fledge";2004;"træna";32
"239";"fledge";2005;"aldra";1
"240";"fledge";2005;"gjerøy";28
"241";"fledge";2005;"hestmannøy";94
"242";"fledge";2005;"indre kvarøy";13
"243";"fledge";2005;"lovund";24
"244";"fledge";2005;"myken";13
"245";"fledge";2005;"nesøy";13
"246";"fledge";2005;"selvær";22
"247";"fledge";2005;"sleneset";38
"248";"fledge";2005;"træna";130
"249";"fledge";2006;"aldra";23
"250";"fledge";2006;"gjerøy";43
"251";"fledge";2006;"hestmannøy";111
